distress_level,link
Low,https://www.youtube.com/watch?v=1ZYbU82GVz4
Low,https://www.youtube.com/watch?v=2dGLh6Qqj4k
Low,https://www.youtube.com/watch?v=vHqC8Ys4NKY
Low,https://www.youtube.com/watch?v=inpok4MKVLM
Low,https://www.youtube.com/watch?v=ZToicYcHIOU
Low,https://www.youtube.com/watch?v=buqt6_CjtuI
Medium,https://www.youtube.com/watch?v=86m4RC_ADEY
Medium,https://www.youtube.com/watch?v=6vO1wPAmiMQ
Medium,https://www.youtube.com/watch?v=tEmt1Znux58
Medium,https://www.youtube.com/watch?v=9mPwQTiMSj8
Medium,https://www.youtube.com/watch?v=ZToicYcHIOU
Medium,https://www.youtube.com/watch?v=1vx8iUvfyCY
High,https://www.youtube.com/watch?v=OFHNi_0TUKo
High,https://www.youtube.com/watch?v=LiUnFJ8P4gM
High,https://www.youtube.com/watch?v=8Ffhv3-8Sjw
High,https://www.youtube.com/watch?v=4q1dgn_C0AU
High,https://www.youtube.com/watch?v=tEmt1Znux58
High,https://www.youtube.com/watch?v=3H9NL_iN4F0
High,https://www.youtube.com/watch?v=2CQpyA485wc
